Parameters:
version     = V8
date_time   = 251103_102307
comp_time   = 0:03:56.651138
disk_type   = SG
torque_type = G23
log(M_SMBH) = 7.0
alpha       = 0.010
T           = 2.0e+06
gen         = 1g
N           = 10000
R_min       = 7.4e+10
R_max       = 3.0e+17
trap_rad    = 1.9e+14 

Data:
r_1       r_2       m_1       m_2       r_pu      t_pu      paired      migration_1      migration_2      Ng_1
1.775e+15 2.858e+11 3.702e+31 3.396e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.299e+15 2.562e+13 2.172e+31 2.099e+31 1.940e+14 6.302e+13 1 type_I type_I 1
9.125e+15 2.739e+16 1.832e+31 1.482e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.527e+16 6.349e+11 3.712e+31 2.989e+31 0.000e+00 0.000e+00 0 type_I type_I 1
6.636e+14 1.838e+17 1.982e+31 1.430e+31 0.000e+00 0.000e+00 0 type_I type_I 1
7.891e+12 1.555e+15 3.213e+31 2.106e+31 1.939e+14 3.419e+13 1 type_I type_I 1
9.072e+14 5.677e+11 4.560e+31 4.111e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.789e+12 3.239e+12 1.478e+31 1.207e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.311e+16 8.668e+10 4.595e+31 3.781e+31 0.000e+00 0.000e+00 0 type_I type_I 1
5.331e+15 1.547e+16 3.791e+31 2.064e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.382e+16 4.323e+11 3.232e+31 1.452e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.356e+13 5.198e+14 3.674e+31 1.936e+31 1.939e+14 6.004e+12 1 type_I type_I 1
1.151e+14 4.619e+16 3.352e+31 1.180e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.871e+17 2.637e+13 3.782e+31 1.405e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.283e+13 1.187e+13 3.778e+31 3.733e+31 1.925e+14 3.279e+12 1 type_I type_I 1
1.221e+13 2.856e+16 3.689e+31 1.599e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.018e+12 4.278e+11 3.344e+31 1.379e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.449e+17 5.355e+13 1.935e+31 1.696e+31 0.000e+00 0.000e+00 0 type_I type_I 1
5.138e+11 1.786e+16 2.262e+31 2.052e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.954e+12 5.206e+11 2.137e+31 1.897e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.437e+14 1.431e+17 1.554e+31 1.449e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.906e+17 5.572e+12 4.506e+31 3.261e+31 0.000e+00 0.000e+00 0 type_I type_I 1
6.900e+11 1.069e+14 4.911e+31 2.001e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.640e+13 6.865e+14 1.796e+31 1.572e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.482e+13 1.234e+15 2.991e+31 1.493e+31 0.000e+00 0.000e+00 0 type_I type_I 1
7.908e+16 2.940e+16 3.538e+31 3.467e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.495e+13 1.381e+15 3.650e+31 2.361e+31 1.940e+14 2.448e+13 1 type_I type_I 1
1.044e+11 1.239e+13 1.660e+31 1.617e+31 0.000e+00 0.000e+00 0 type_I type_I 1
9.472e+11 1.962e+16 3.432e+31 1.530e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.444e+11 2.067e+12 3.978e+31 2.146e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.741e+17 1.911e+14 3.843e+31 1.791e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.701e+14 6.521e+14 3.442e+31 1.900e+31 1.939e+14 8.638e+12 1 type_I type_I 1
1.058e+17 1.658e+14 3.960e+31 2.819e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.123e+14 1.958e+16 1.454e+31 1.201e+31 0.000e+00 0.000e+00 0 type_I type_I 1
7.986e+12 3.351e+16 3.416e+31 2.749e+31 0.000e+00 0.000e+00 0 type_I type_I 1
5.444e+15 2.107e+14 3.827e+31 1.496e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.224e+15 3.984e+16 3.699e+31 1.328e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.759e+12 3.099e+16 1.643e+31 1.590e+31 0.000e+00 0.000e+00 0 type_I type_I 1
